setup_ns,run_ns
391,4536558
301,4470643
210,4502233
572,4447248
702,4499447
231,4471514
1654,4472155
251,4464712
541,4486743
241,4470773
191,4504487
270,4463388
982,4488787
1363,4495269
1152,4471995
2936,4485321
1623,4480712
652,4456245
221,4458920
1172,4459442
2054,4467126
230,4477165
2053,4462036
611,4466585
1463,4463459
221,4463208
1973,4439944
741,4468279
471,4450374
611,4479931
711,4442489
2835,4451406
1182,4457768
661,4446838
822,4461185
2184,4454402
642,4465873
331,4477186
612,4457788
1262,4462227
211,4465864
201,4449823
701,4472907
1913,4471294
1042,4456195
251,4445865
451,4465814
1583,4465965
321,4477475
851,4467266
400,4463129
2364,4748682
180,4355424
261,4405248
320,4401882
1002,4420217
400,4414476
441,4421940
1112,4438272
962,4410739
622,4443370
621,4444213
381,4434354
2535,4423383
992,4427481
270,4447168
751,4466204
371,4438762
220,4472987
481,4534735
221,4448320
380,4460514
1323,4438061
1542,4509516
972,4468409
290,4489589
220,4473388
380,4467026
321,4479529
521,4497103
1393,4495350
811,4510769
211,4467046
982,4492774
361,4501772
231,4487314
410,4502794
551,4501422
210,4478337
782,4508946
280,4466435
491,4539484
410,4456245
1263,4562878
992,4507744
210,4519025
211,4524946
200,4517452
1643,4499027
892,4474801
772,4483357
221,4477716
1382,4465062
1522,4454542
371,4468559
330,4485071
1353,4460954
691,4455785
341,4462597
441,4435276
