setup_ns,run_ns
1052,2346574
1273,2416416
381,2223830
1403,2203111
381,2209383
821,2283964
411,2258095
922,2422789
1052,2298823
471,2239159
1082,2375449
531,2238779
200,2133018
541,2258506
861,2348488
1112,2172072
2485,2240272
642,2158766
340,2276942
682,2173825
1893,2298172
1362,2365359
1172,2178194
1092,2243057
921,2231084
771,2271511
200,2178494
1123,2313360
411,2213540
591,2174887
361,2228019
1132,2204644
200,2211597
1012,2216026
441,2200055
1323,2392982
752,2304233
682,2187431
1203,2349058
991,2277352
852,2337436
792,2258396
220,2273976
1342,2332908
1263,2354108
571,2208902
1573,2252415
661,2231535
531,2215995
2715,2236655
401,2237527
4048,2210324
2234,2208592
181,2240552
1002,2361623
440,2781502
902,2294685
350,2193723
1523,2197249
1292,2226596
881,2253256
792,2217698
3587,2255360
400,2243819
1243,2236634
4449,2215905
3266,2225493
3366,2263015
2124,2192791
490,2228148
2094,2246965
1774,2209663
1132,2217127
631,2307539
671,2196188
521,2241124
2785,2228139
1143,2222437
1112,2207209
1704,2231034
2405,2224020
1132,2234681
501,2254619
3957,2216286
771,2211517
961,2385778
1012,2346113
601,2209092
1001,2224803
751,2273194
230,2224150
1182,2190708
2194,2215585
3647,2233749
3306,2216938
571,2199554
280,2185067
821,2235092
932,2233579
311,2286559
