setup_ns,run_ns
441,5623976
241,5567880
361,4665223
752,2981791
451,2794024
611,2811437
782,2895066
761,2774387
351,2846364
201,2798783
912,2909283
1072,2757274
671,2838860
301,2891590
661,3674820
410,2850923
1593,2908342
220,2757094
180,2875369
571,5454865
241,5476716
541,5478570
1163,5453151
931,5492998
331,5503888
631,5493649
862,5497075
782,5484732
1473,5504238
601,4734204
250,3029032
571,2795226
340,2767624
471,3283976
411,2859038
951,2746674
181,2778775
582,2768375
170,2809022
912,2782512
531,2879437
671,2764748
160,2788083
160,2770991
501,2787101
231,2806898
521,2791289
531,2784005
662,2773034
511,2800256
842,2988674
220,2782572
1222,2796208
431,2776240
190,2804925
942,2981301
431,2715315
1312,2824462
160,2790328
390,2817860
411,3109704
681,5092656
471,4936379
511,5207304
461,5233123
481,5023234
301,5109277
351,5077657
651,3486732
3927,2794475
390,2821216
631,2789235
391,3180720
942,3106298
581,2812419
400,2775910
171,2795005
181,2790848
120,2789556
250,2805596
712,2802009
280,2813281
230,2810676
150,2809444
