setup_ns,run_ns
191,16242684
221,16259085
411,16271158
321,16504492
371,16258384
160,16157823
400,15851349
410,15861911
841,15902778
651,15859636
410,15881788
400,15886197
761,15898790
411,15928627
582,16392178
661,15910883
381,16425713
642,15938325
411,16445320
681,15952522
632,15878341
450,15949727
581,16375887
682,15951510
421,16620022
681,16212206
642,16486378
661,15923979
581,15935751
611,16457523
882,15934087
391,16459416
672,15937704
571,15971558
611,16498851
651,15889463
391,16457392
691,15953014
421,16422216
672,15928456
401,15917325
571,16393962
641,15934338
420,16431894
712,15938726
581,15910242
611,16417687
631,15866119
380,16423068
691,15925361
291,16429630
641,15925150
591,15889653
411,16336954
