setup_ns,run_ns
4649,49109009
3918,47751427
4208,47980373
4629,43841893
4088,45837068
7976,42066337
10480,41231660
7634,40059742
5470,40005239
2966,38806960
7424,41047540
6483,41784321
5260,42238565
7675,41095221
5330,40277886
3577,41363231
3697,36979205
14097,40298015
6001,39202252
15049,39056374
6823,40816381
4479,39537659
16211,38477954
5701,41189310
19447,40741699
13034,41454615
4058,40718094
10611,40546828
3487,41328234
20589,41351508
17654,40864693
18915,41300501
17914,41423625
8707,42081707
3717,39899237
11271,39776584
4469,40379169
5090,37401848
6532,39701832
5811,39415106
8676,41539005
6643,38828611
9839,40285481
4729,41023034
20269,41313536
6122,40355003
4498,40070283
10570,41783950
18605,39725878
4158,42240168
9949,40133202
7875,38752526
4278,40221149
3707,40177245
12343,39390540
8135,41639987
7895,41617584
19467,40201031
17022,41986967
3657,43629690
4849,38049951
3336,39208704
5891,41410250
4709,39073708
5020,41512885
5871,40340817
4468,40228523
4288,38294916
19507,43745029
15129,42152922
5250,42130699
4458,41267288
4479,40846157
9468,40469862
15239,42608258
4068,43118428
5661,41682177
5560,41285793
18265,41677358
4810,42271016
9398,40831169
4328,41192106
8246,38765080
6092,39947749
4168,41052330
4028,40315488
8736,41455096
5490,40575993
11812,40859733
19036,41815901
4979,39609647
13867,40755755
5992,41147971
5841,40429425
4358,38364559
3547,38552416
3517,37887762
4368,41270344
4228,41878370
13035,40841378
13335,39513604
9007,40367237
4429,40991594
5460,38252265
3788,42352221
3778,39497072
5480,39718062
5641,38292171
4508,40769652
4629,41164322
